userid,register_time,country
11846,2017-02-06,VN
11853,2017-02-24,PH
11855,2017-02-16,MY
11863,2017-05-10,TH
11866,2017-05-17,SG
11867,2017-01-17,MY
11873,2017-04-20,SG
11882,2017-02-17,SG
11883,2017-04-01,VN
11885,2017-05-19,TW
11892,2017-02-12,MY
11893,2017-05-25,VN
11901,2017-03-06,TH
11902,2017-03-05,VN
11907,2017-01-21,SG
11910,2017-03-18,ID
11914,2017-01-21,SG
11915,2017-03-18,SG
11925,2017-04-16,ID
11927,2017-01-03,TW
11937,2017-03-30,MY
11945,2017-05-25,MY
11950,2017-01-30,MY
11951,2017-04-23,ID
11957,2017-04-05,SG
11961,2017-05-15,MY
11963,2017-02-13,PH
11969,2017-02-16,TH
11972,2017-03-03,PH
11982,2017-04-04,MY
11987,2017-03-30,VN
11997,2017-01-19,VN
12001,2017-04-11,TH
12005,2017-05-27,TW
12010,2017-05-13,MY
12011,2017-03-31,SG
12017,2017-02-13,PH
12020,2017-03-20,PH
12028,2017-05-16,MY
12030,2017-04-03,MY
12040,2017-04-15,MY
12045,2017-05-26,VN
12047,2017-03-25,SG
12050,2017-02-10,PH
12055,2017-01-31,MY
12059,2017-01-01,ID
12068,2017-05-09,SG
12077,2017-02-27,SG
12078,2017-03-18,VN
12083,2017-04-08,VN
12088,2017-05-07,MY
12096,2017-02-03,PH
12103,2017-02-12,TH
12106,2017-05-15,TW
12112,2017-01-02,VN
12117,2017-02-06,SG
12123,2017-04-21,TW
12133,2017-05-10,TW
12134,2017-01-10,TW
12136,2017-04-12,TH
12146,2017-02-27,VN
12149,2017-05-19,TH
12152,2017-05-06,VN
12157,2017-01-14,TW
12167,2017-01-13,MY
12171,2017-04-29,SG
12173,2017-03-09,SG
12175,2017-05-17,TH
12176,2017-01-21,PH
12181,2017-02-18,VN
12186,2017-01-09,VN
12195,2017-04-07,TW
12196,2017-01-16,MY
12197,2017-04-21,TW
12202,2017-03-08,ID
12206,2017-02-02,TW
12215,2017-04-21,TH
12218,2017-04-26,PH
12224,2017-03-07,TH
12226,2017-06-01,MY
12232,2017-01-20,TH
12233,2017-05-25,TW
12240,2017-01-01,SG
12248,2017-01-06,ID
12258,2017-03-12,TH
12262,2017-01-02,TH
12270,2017-04-17,SG
12277,2017-01-15,ID
12283,2017-04-25,MY
12292,2017-03-16,PH
12302,2017-05-03,ID
12307,2017-04-14,PH
12309,2017-03-21,PH
12311,2017-02-01,TW
12317,2017-01-08,ID
12323,2017-05-05,TW
12329,2017-01-29,TH
12330,2017-03-02,ID
12334,2017-04-27,MY
12340,2017-01-20,VN
12342,2017-05-11,TW
12351,2017-03-16,ID
12358,2017-01-27,TW
12365,2017-01-12,TH
12367,2017-01-06,SG
12377,2017-05-01,SG
12382,2017-02-22,SG
12387,2017-02-08,VN
12391,2017-03-29,MY
12401,2017-04-12,ID
12411,2017-02-14,VN
12413,2017-02-06,TH
12414,2017-05-24,ID
12417,2017-04-28,TH
12425,2017-02-04,TH
12429,2017-02-21,VN
12436,2017-05-03,MY
12442,2017-05-25,ID
12443,2017-05-15,PH
12452,2017-01-17,PH
12458,2017-01-28,PH
12467,2017-02-07,TH
12475,2017-01-02,PH
12477,2017-05-21,SG
12481,2017-02-11,VN
12489,2017-01-28,SG
12492,2017-01-16,ID
12498,2017-05-16,ID
12506,2017-05-03,SG
12509,2017-01-02,ID
12516,2017-01-05,TH
12517,2017-02-16,VN
12519,2017-04-16,ID
12528,2017-04-02,SG
12533,2017-03-10,TW
12541,2017-01-09,TH
12549,2017-03-21,VN
12550,2017-05-11,ID
12553,2017-01-12,VN
12555,2017-02-25,MY
12559,2017-02-13,PH
12563,2017-02-20,VN
12567,2017-03-22,MY
12576,2017-03-14,MY
12581,2017-02-17,TH
12586,2017-01-05,MY
12587,2017-03-23,ID
12596,2017-03-20,MY
12605,2017-04-12,TW
12607,2017-03-07,MY
12609,2017-02-07,TW
12610,2017-05-12,TH
12616,2017-05-05,TW
12622,2017-04-23,TH
12625,2017-02-05,PH
12629,2017-02-03,TW
12635,2017-01-30,PH
12638,2017-04-11,MY
12643,2017-05-09,SG
12645,2017-04-30,PH
12651,2017-04-25,PH
12658,2017-03-28,TW
12660,2017-03-27,TH
12661,2017-02-24,SG
12668,2017-02-28,TW
12671,2017-05-18,ID
12675,2017-01-06,PH
12683,2017-01-16,MY
12688,2017-05-22,SG
12695,2017-05-24,TH
12704,2017-03-10,PH
12707,2017-01-22,MY
12708,2017-01-10,MY
12716,2017-02-08,PH
12721,2017-04-19,PH
12727,2017-02-10,PH
12728,2017-05-13,MY
12735,2017-03-27,TW
12736,2017-03-18,MY
12740,2017-03-20,SG
12747,2017-01-14,ID
12755,2017-04-19,PH
12759,2017-02-26,VN
12762,2017-01-06,MY
12765,2017-05-24,SG
12766,2017-03-09,PH
12774,2017-03-15,MY
12784,2017-04-30,SG
12790,2017-02-15,VN
12795,2017-05-25,PH
12801,2017-01-18,TH
12806,2017-03-21,VN
12816,2017-03-03,TW
12826,2017-01-01,TW
12834,2017-01-28,SG
12836,2017-03-26,ID
12841,2017-01-20,ID
12850,2017-03-31,VN
12851,2017-01-22,SG
12858,2017-05-21,ID
12862,2017-03-25,PH
12871,2017-02-07,TW
12881,2017-03-18,MY
12883,2017-03-19,SG
12893,2017-02-26,ID
12901,2017-02-13,PH
12909,2017-03-26,TW
12915,2017-01-21,TW
12920,2017-05-23,TH
12929,2017-01-09,TW
12931,2017-04-20,PH
12937,2017-02-01,TW
12938,2017-04-13,VN
12947,2017-05-10,SG
12957,2017-03-05,VN
12966,2017-02-02,MY
12974,2017-05-13,VN
12979,2017-03-02,MY
12984,2017-01-11,ID
12991,2017-01-16,TW
12993,2017-05-13,PH
13000,2017-03-01,PH
13003,2017-04-10,ID
13010,2017-04-28,VN
13011,2017-01-09,ID
13012,2017-01-01,TH
13021,2017-04-30,PH
13028,2017-04-08,TW
13038,2017-01-31,ID
13048,2017-02-24,TH
13050,2017-01-16,ID
13055,2017-04-29,PH
13065,2017-04-01,SG
13074,2017-01-07,TW
13079,2017-01-24,TH
13084,2017-02-12,VN
13094,2017-04-27,MY
13096,2017-04-17,VN
13100,2017-02-16,TW
13108,2017-05-06,TW
13117,2017-03-07,ID
13121,2017-06-01,SG
13131,2017-02-28,PH
13141,2017-05-17,VN
13151,2017-02-04,ID
13157,2017-02-18,PH
13159,2017-02-02,TH
13163,2017-04-30,MY
13168,2017-02-28,VN
13173,2017-05-16,TH
13182,2017-04-20,PH
13186,2017-04-19,TH
13192,2017-03-20,PH
13200,2017-03-04,MY
13207,2017-02-03,PH
13213,2017-04-03,VN
13219,2017-05-19,MY
13227,2017-03-22,VN
13231,2017-05-25,VN
13232,2017-02-10,TW
13234,2017-04-13,VN
13237,2017-05-04,SG
13241,2017-02-04,TW
13249,2017-02-12,VN
13256,2017-02-22,TW
13266,2017-01-31,TW
13276,2017-04-12,SG
13278,2017-04-18,PH
13281,2017-01-31,MY
13288,2017-02-18,TH
13295,2017-03-09,TW
13302,2017-02-14,ID
13304,2017-01-18,VN
13308,2017-05-20,VN
13311,2017-04-15,MY
13314,2017-02-14,ID
13323,2017-05-05,TW
13326,2017-03-17,PH
13335,2017-04-30,TW
13338,2017-03-14,TW
13347,2017-02-15,TW
13353,2017-03-02,MY
13355,2017-01-17,TH
13362,2017-01-27,PH
13368,2017-05-06,PH
13375,2017-01-03,PH
13376,2017-05-30,PH
13381,2017-02-11,TH
13388,2017-02-18,VN
13393,2017-02-11,VN
13398,2017-05-28,MY
13399,2017-02-20,MY
13409,2017-02-17,TH
13410,2017-03-03,TW
13416,2017-02-04,TH
13419,2017-01-26,TW
13429,2017-04-21,VN
13430,2017-03-11,TH
13435,2017-03-23,SG
13439,2017-03-30,MY
13442,2017-01-06,MY
13443,2017-01-12,PH
13445,2017-04-28,PH
13446,2017-04-11,VN
13451,2017-04-27,VN
13452,2017-05-29,TW
13460,2017-01-12,SG
13469,2017-05-16,VN
13479,2017-02-12,SG
13480,2017-04-23,TW
13487,2017-03-13,TW
13490,2017-05-13,VN
13494,2017-02-03,PH
13504,2017-03-06,VN
13510,2017-05-22,ID
13511,2017-04-30,TW
13512,2017-01-23,TW
13517,2017-01-30,MY
13524,2017-01-31,ID
13530,2017-02-02,TH
13540,2017-04-03,ID
13548,2017-04-17,ID
13550,2017-03-07,SG
13555,2017-05-25,SG
13560,2017-01-16,TH
13566,2017-05-26,SG
13567,2017-04-19,ID
13573,2017-03-29,VN
13576,2017-05-27,VN
13577,2017-01-14,ID
13584,2017-03-08,ID
13586,2017-04-12,ID
13590,2017-05-29,PH
13595,2017-02-05,PH
13598,2017-01-01,ID
13599,2017-02-22,TH
13601,2017-05-28,MY
13603,2017-01-28,TH
13605,2017-03-18,TW
13609,2017-02-27,MY
13615,2017-01-31,SG
13623,2017-03-18,TH
13631,2017-03-01,PH
13632,2017-02-23,MY
13638,2017-04-07,VN
13643,2017-01-31,SG
13644,2017-05-16,SG
13647,2017-04-22,TW
13652,2017-05-17,TW
13658,2017-03-12,ID
13664,2017-05-16,TW
13666,2017-05-15,TW
13671,2017-04-14,VN
13676,2017-03-29,SG
13677,2017-02-16,TW
13684,2017-03-25,MY
13692,2017-04-03,TH
13693,2017-01-06,PH
13701,2017-03-14,TH
13703,2017-04-26,PH
13704,2017-03-26,PH
13706,2017-02-05,SG
13713,2017-01-11,PH
13717,2017-04-20,ID
13725,2017-03-21,TH
13728,2017-05-16,MY
13738,2017-04-19,VN
13745,2017-01-03,TH
13747,2017-05-18,MY
13755,2017-01-24,VN
13762,2017-04-28,VN
13766,2017-04-30,TH
13776,2017-01-17,MY
13784,2017-05-31,SG
13788,2017-03-27,VN
13795,2017-04-27,PH
13804,2017-03-12,MY
13811,2017-03-12,PH
13818,2017-05-09,TW
13822,2017-02-27,ID
13823,2017-02-15,PH
13828,2017-02-01,VN
13837,2017-01-16,ID
13843,2017-01-01,VN
13850,2017-01-18,MY
13857,2017-02-13,TH
13862,2017-05-18,SG
13866,2017-05-06,VN
13872,2017-04-11,SG
13882,2017-04-18,ID
13890,2017-03-02,TW
13896,2017-04-29,PH
13899,2017-05-20,VN
13902,2017-02-13,TW
13912,2017-04-03,ID
13922,2017-05-03,TW
13932,2017-02-01,ID
13935,2017-01-25,PH
13941,2017-05-23,TW
13942,2017-01-31,TW
13945,2017-03-10,PH
13952,2017-04-07,ID
13956,2017-05-07,PH
13964,2017-01-14,ID
13972,2017-05-18,VN
13976,2017-01-25,TW
13981,2017-03-14,ID
13984,2017-05-21,TW
13989,2017-01-02,TH
13993,2017-02-03,VN
14001,2017-01-05,MY
14004,2017-04-09,SG
14014,2017-02-07,VN
14018,2017-03-16,MY
14024,2017-05-14,SG
14032,2017-02-10,PH
14042,2017-04-16,TW
14049,2017-01-06,TH
14055,2017-02-11,TW
14059,2017-04-04,MY
14068,2017-05-09,VN
14075,2017-03-16,PH
14083,2017-05-10,PH
14087,2017-01-06,SG
14094,2017-02-02,VN
14099,2017-02-27,VN
14101,2017-03-11,PH
14105,2017-04-04,TH
14110,2017-02-01,ID
14111,2017-04-19,TW
14114,2017-05-23,PH
14124,2017-04-03,TH
14125,2017-01-26,TW
14134,2017-01-30,MY
14140,2017-02-28,SG
14142,2017-05-15,SG
14146,2017-01-06,MY
14153,2017-03-15,MY
14163,2017-03-07,TW
14168,2017-01-18,VN
14177,2017-02-08,SG
14183,2017-02-01,SG
14188,2017-03-08,MY
14195,2017-03-12,ID
14203,2017-02-03,TW
14213,2017-04-14,PH
14219,2017-04-06,TW
14220,2017-03-25,VN
14225,2017-05-20,SG
14228,2017-02-17,SG
14230,2017-04-02,VN
14233,2017-03-18,PH
14239,2017-03-17,VN
14241,2017-01-08,TH
14245,2017-04-02,ID
14252,2017-01-26,TW
14256,2017-05-30,MY
14261,2017-04-28,TH
14268,2017-01-05,MY
14276,2017-01-02,ID
14280,2017-03-14,VN
14287,2017-05-23,PH
14294,2017-03-17,TW
14297,2017-02-06,SG
14299,2017-04-13,SG
14305,2017-02-17,TH
14314,2017-04-27,VN
14316,2017-01-25,MY
14320,2017-01-06,PH
14325,2017-04-15,TH
14330,2017-06-01,TW
14340,2017-05-08,VN
14348,2017-05-07,TW
14358,2017-02-24,TH
14359,2017-02-19,TH
14366,2017-03-19,MY
14369,2017-05-09,PH
14377,2017-05-02,MY
14384,2017-03-11,TH
14389,2017-03-11,TH
14397,2017-05-17,ID
14401,2017-05-10,TH
14405,2017-04-06,TH
14407,2017-01-04,MY
14417,2017-05-26,ID
14420,2017-04-13,TH
14422,2017-05-14,SG
14425,2017-04-14,VN
14435,2017-04-11,SG
14438,2017-03-11,TH
14441,2017-05-17,SG
14444,2017-02-15,ID
14452,2017-01-24,SG
14462,2017-03-20,TW
14468,2017-05-24,TH
14478,2017-05-19,SG
14486,2017-05-06,TH
14489,2017-03-10,TH
14495,2017-03-29,TW
14499,2017-05-28,SG
14507,2017-03-31,VN
14511,2017-05-24,PH
14517,2017-02-27,TH
14523,2017-01-28,PH
14524,2017-02-15,PH
14529,2017-04-01,TH
14534,2017-04-29,VN
14542,2017-05-05,TW
14546,2017-02-23,TH
14548,2017-03-31,PH
14555,2017-02-08,TH
14562,2017-05-18,VN
14564,2017-02-20,MY
14570,2017-03-21,PH
14571,2017-05-06,PH
14578,2017-01-04,TW
14588,2017-04-24,MY
14593,2017-04-22,MY
14596,2017-04-25,PH
14602,2017-05-01,TW
14611,2017-05-04,VN
14620,2017-05-09,ID
14623,2017-04-07,MY
14632,2017-03-04,TH
14641,2017-04-29,ID
14647,2017-02-06,MY
14648,2017-04-03,TW
14657,2017-05-03,TW
14664,2017-01-24,MY
14672,2017-02-12,VN
14675,2017-03-13,ID
14685,2017-03-03,VN
14691,2017-04-15,ID
14693,2017-02-05,PH
14696,2017-04-27,TW
14699,2017-02-23,ID
14701,2017-04-16,PH
14705,2017-05-06,TW
14710,2017-05-07,TH
14719,2017-02-23,PH
14728,2017-02-28,MY
14736,2017-02-08,VN
14738,2017-02-17,MY
14748,2017-03-03,MY
14756,2017-05-26,TH
14757,2017-03-29,SG
14758,2017-03-26,TH
14762,2017-02-23,SG
14769,2017-01-23,PH
14770,2017-01-05,ID
14774,2017-01-24,TH
14779,2017-04-13,MY
14789,2017-02-25,VN
14799,2017-05-08,PH
14802,2017-03-14,ID
14803,2017-01-19,PH
14807,2017-02-02,SG
14809,2017-04-02,TH
14813,2017-03-05,ID
14821,2017-01-26,TW
14825,2017-05-29,TH
14833,2017-05-27,SG
14839,2017-02-17,MY
14846,2017-02-13,MY
14854,2017-04-14,TH
14863,2017-01-29,TW
14873,2017-05-13,TH
14874,2017-01-05,TH
14876,2017-04-06,MY
14879,2017-03-21,VN
14884,2017-03-13,SG
14888,2017-02-22,PH
14890,2017-03-03,VN
14899,2017-01-03,VN
14907,2017-03-08,TW
14913,2017-04-30,SG
14923,2017-03-23,TH
14925,2017-01-13,VN
14931,2017-04-21,PH
14936,2017-02-28,TH
14946,2017-04-03,VN
14950,2017-01-20,ID
14958,2017-01-07,PH
14959,2017-04-08,ID
14960,2017-01-28,PH
14967,2017-02-16,SG
14971,2017-05-08,VN
14980,2017-01-28,MY
14986,2017-01-10,VN
14992,2017-01-26,TW
14993,2017-01-26,TH
15001,2017-01-20,TH
15003,2017-05-03,ID
15009,2017-01-23,SG
15017,2017-01-03,MY
15021,2017-01-06,ID
15023,2017-05-08,VN
15032,2017-01-27,ID
15033,2017-01-26,TW
15043,2017-04-12,MY
15053,2017-05-10,TH
15057,2017-04-11,TW
15062,2017-05-11,SG
15067,2017-03-12,VN
15072,2017-03-06,SG
15082,2017-04-03,TH
15083,2017-04-10,MY
15092,2017-04-25,VN
15095,2017-03-03,SG
15105,2017-02-18,TH
15115,2017-03-07,TW
15123,2017-05-15,TW
15124,2017-04-21,PH
15133,2017-04-17,TH
15143,2017-03-17,VN
15150,2017-01-02,TH
15152,2017-05-07,TW
15158,2017-04-09,TW
15165,2017-01-05,SG
15166,2017-02-22,TW
15172,2017-04-07,VN
15173,2017-03-11,TW
15176,2017-02-01,TW
15184,2017-05-23,VN
15193,2017-03-13,VN
15194,2017-01-28,TW
15198,2017-01-14,ID
15204,2017-05-27,SG
15214,2017-03-07,TW
15220,2017-01-30,PH
15226,2017-01-12,MY
15236,2017-01-20,PH
15238,2017-05-20,PH
15247,2017-02-09,MY
15252,2017-03-03,SG
15262,2017-04-21,VN
15265,2017-05-27,ID
15273,2017-01-02,TH
15275,2017-04-28,VN
15282,2017-05-29,VN
15286,2017-05-17,PH
15293,2017-03-07,VN
15303,2017-03-13,PH
15306,2017-02-08,ID
15307,2017-05-13,MY
15317,2017-03-23,PH
15327,2017-04-27,VN
15332,2017-05-07,ID
15338,2017-04-12,MY
15341,2017-04-10,TW
15343,2017-04-03,MY
15348,2017-02-10,SG
15357,2017-01-29,MY
15359,2017-02-07,VN
15362,2017-05-09,ID
15363,2017-05-28,VN
15368,2017-03-11,SG
15370,2017-05-03,ID
15373,2017-02-10,PH
15380,2017-05-17,MY
15383,2017-01-01,ID
15388,2017-01-17,PH
15397,2017-01-18,VN
15400,2017-05-14,TH
15406,2017-02-11,VN
15409,2017-04-13,TW
15419,2017-05-08,VN
15424,2017-01-30,SG
15427,2017-05-20,TH
15431,2017-01-20,ID
15438,2017-01-18,ID
15442,2017-04-13,ID
15445,2017-02-02,PH
15446,2017-01-16,TW
15452,2017-05-23,TH
15459,2017-02-01,SG
15463,2017-01-14,SG
15467,2017-04-29,TH
15470,2017-04-29,SG
15476,2017-02-02,PH
15482,2017-01-23,MY
15490,2017-03-24,PH
15494,2017-02-06,MY
15502,2017-03-24,MY
15505,2017-04-20,PH
15515,2017-04-10,VN
15523,2017-01-10,MY
15533,2017-02-27,MY
15542,2017-03-08,PH
15546,2017-04-12,VN
15551,2017-05-14,ID
15559,2017-02-27,TW
15567,2017-03-15,TH
15573,2017-02-09,PH
15576,2017-01-30,VN
15579,2017-04-15,PH
15586,2017-04-29,TH
15594,2017-01-18,VN
15600,2017-03-12,TW
15608,2017-03-19,VN
15618,2017-03-16,TH
15628,2017-04-11,ID
15638,2017-03-25,TW
15641,2017-05-09,ID
15645,2017-01-06,VN
15649,2017-03-11,TW
15651,2017-02-28,TW
15661,2017-05-28,MY
15666,2017-04-21,ID
15676,2017-04-24,PH
15686,2017-04-25,TW
15693,2017-04-25,TW
15703,2017-05-02,ID
15704,2017-01-16,TH
15714,2017-02-19,TW
15721,2017-05-13,VN
15725,2017-03-14,VN
15733,2017-06-01,MY
15734,2017-01-13,TH
15736,2017-04-27,SG
15742,2017-06-01,VN
15752,2017-04-02,PH
15757,2017-01-05,ID
15761,2017-03-05,TW
15769,2017-04-07,TH
15778,2017-05-04,SG
15783,2017-03-10,ID
15789,2017-05-10,SG
15794,2017-05-18,TW
15798,2017-05-30,VN
15804,2017-04-14,ID
15812,2017-03-01,PH
15821,2017-04-13,TH
15830,2017-03-12,ID
15837,2017-02-18,MY
15846,2017-03-31,ID
15853,2017-04-15,TH
15859,2017-01-12,PH
15865,2017-03-08,PH
15873,2017-01-02,TH
15874,2017-05-01,VN
15882,2017-04-04,TW
15887,2017-05-24,MY
15891,2017-01-04,SG
15897,2017-04-01,ID
15900,2017-04-04,TH
15908,2017-05-16,TH
15913,2017-05-02,SG
15916,2017-05-08,SG
15919,2017-03-06,ID
15924,2017-03-29,ID
15931,2017-04-03,VN
15939,2017-03-24,VN
15940,2017-04-04,MY
15946,2017-04-04,MY
15953,2017-01-30,VN
15962,2017-03-27,ID
15969,2017-02-16,VN
15971,2017-02-01,MY
15976,2017-01-13,ID
15982,2017-05-17,VN
15986,2017-05-29,MY
15990,2017-02-16,ID
15998,2017-05-12,ID
16008,2017-02-27,VN
16011,2017-03-02,VN
16016,2017-05-01,ID
16020,2017-05-15,PH
16021,2017-03-02,SG
16029,2017-05-30,SG
16032,2017-05-24,PH
16034,2017-02-21,SG
16035,2017-04-28,TW
16036,2017-01-12,VN
16037,2017-05-19,TW
16043,2017-02-11,MY
16053,2017-05-16,PH
16058,2017-02-18,TH
16064,2017-05-22,SG
16071,2017-04-06,VN
16077,2017-04-12,SG
16085,2017-03-05,PH
16095,2017-01-28,VN
16105,2017-03-20,TW
16112,2017-01-13,SG
16114,2017-02-28,SG
16117,2017-01-29,VN
16121,2017-02-26,SG
16128,2017-02-07,TW
16134,2017-03-30,ID
16140,2017-02-02,SG
16148,2017-05-20,MY
16151,2017-04-03,VN
16153,2017-01-31,MY
16162,2017-04-08,TW
16169,2017-05-11,MY
16173,2017-01-18,TW
16180,2017-01-18,SG
16186,2017-05-19,VN
