orderid,userid,itemid,gmv,order_time
1030484,59624,3067307,50,2017-05-31
1030490,20184,4165460,96,2017-03-14
1030494,22227,1325348,59,2017-01-17
1030499,61530,5701545,88,2017-01-31
1030503,23099,7942993,6,2017-01-22
1030508,41736,6850338,27,2017-01-08
1030518,60772,5884827,7,2017-05-14
1030526,46046,2522411,35,2017-03-24
1030533,36179,7045364,61,2017-06-01
1030540,31690,9223750,91,2017-03-27
1030545,29991,5711073,20,2017-04-08
1030546,23206,4650433,57,2017-01-16
1030549,28555,1797004,37,2017-03-08
1030557,55093,2169203,25,2017-05-31
1030562,62922,8588781,71,2017-05-06
1030571,49058,5268958,56,2017-03-23
1030580,42154,6167682,35,2017-03-01
1030583,68494,4456395,86,2017-02-10
1030587,53133,4687522,73,2017-03-29
1030593,31788,2391322,33,2017-01-27
1030598,36433,4907568,81,2017-05-01
1030607,27906,7789974,39,2017-05-04
1030615,49668,7968061,17,2017-04-13
1030621,29740,1966226,41,2017-03-05
1030631,55971,7510220,23,2017-01-10
1030640,30342,7882424,28,2017-04-12
1030646,29756,7168779,3,2017-02-11
1030655,54126,4454286,81,2017-02-16
1030660,66782,8064497,52,2017-04-16
1030665,41922,4951007,22,2017-05-19
1030673,18494,6945938,24,2017-03-22
1030675,35816,1686930,49,2017-04-20
1030678,61042,6706597,59,2017-05-24
1030686,14228,6547916,58,2017-05-15
1030692,27065,2130346,34,2017-03-15
1030699,52219,7191939,79,2017-03-18
1030704,66183,8338220,34,2017-04-06
1030708,37656,2805382,53,2017-02-06
1030718,29261,7776822,28,2017-05-18
1030725,26021,5823191,12,2017-04-12
1030731,14499,7418218,100,2017-02-24
1030733,47936,8545471,21,2017-02-01
1030743,28673,4837109,72,2017-04-06
1030745,30596,4100981,82,2017-04-14
1030746,58645,2976798,72,2017-05-01
1030755,54854,8480014,16,2017-02-25
1030758,13837,2719035,99,2017-02-21
1030765,69661,6497705,29,2017-03-04
1030771,32210,9308640,86,2017-01-12
1030775,36842,4740180,13,2017-03-18
1030776,22996,1789287,61,2017-03-15
1030777,55821,4790124,18,2017-02-28
1030780,46567,1529022,19,2017-02-12
1030789,10477,2455590,22,2017-02-02
1030791,25564,4411904,13,2017-05-18
1030800,10366,6131792,14,2017-02-04
1030809,11639,9274400,94,2017-01-12
1030810,66104,2106378,44,2017-03-13
1030815,14230,6645902,39,2017-04-20
1030820,64276,3161583,10,2017-01-07
1030824,35816,2445208,19,2017-01-21
1030834,63122,2947939,19,2017-03-07
1030839,53606,1522911,10,2017-05-07
1030847,47419,3512771,80,2017-01-22
1030855,67646,2383957,45,2017-01-14
1030857,68207,8446365,21,2017-05-17
1030861,50107,4501339,26,2017-02-17
1030867,19788,5987082,66,2017-03-04
1030872,51743,6345482,71,2017-02-03
1030879,31717,8840290,60,2017-01-16
1030881,50480,3847446,32,2017-05-27
1030883,16989,2045728,37,2017-03-11
1030886,59251,3188374,33,2017-04-29
1030896,46399,7747705,95,2017-03-15
1030902,30892,2947268,55,2017-02-10
1030907,41100,6897338,56,2017-03-11
1030915,31521,7661365,80,2017-05-06
1030917,61511,6253558,41,2017-05-16
1030921,12387,8841623,18,2017-03-11
1030926,41441,1487073,47,2017-01-06
1030936,26654,6702764,35,2017-04-03
1030942,45136,3563809,15,2017-02-14
1030945,30773,2356295,73,2017-04-09
1030947,26456,2987794,92,2017-05-31
1030957,26661,4345939,8,2017-02-17
1030963,39066,9092588,87,2017-02-05
1030964,19139,6464129,53,2017-03-18
1030969,56396,6097754,33,2017-04-28
1030976,23350,9326736,26,2017-02-21
1030984,47211,6106204,67,2017-01-01
1030993,63386,9292448,4,2017-01-24
1031002,19994,6724231,62,2017-05-23
1031008,25106,7987004,60,2017-05-08
1031009,17000,1472619,83,2017-03-15
1031019,56399,2816269,39,2017-03-02
1031027,14075,8637261,43,2017-04-07
1031031,52756,2056013,73,2017-01-10
1031039,23461,6917029,14,2017-03-25
1031041,29300,3659494,27,2017-05-05
1031049,57289,4633002,28,2017-02-25
1031050,24674,9247358,26,2017-04-05
1031060,33345,2505722,64,2017-03-13
1031061,13276,7170569,98,2017-01-22
1031070,54540,2657005,98,2017-04-09
1031076,51160,5817743,22,2017-04-05
1031081,19446,8706063,23,2017-05-17
1031091,49011,3590814,92,2017-04-14
1031093,57444,6025080,12,2017-03-02
1031095,13857,2339541,28,2017-04-07
1031098,34753,2407907,100,2017-02-25
1031102,21331,7039225,74,2017-03-16
1031111,13964,3167083,74,2017-04-09
1031116,49949,4951633,22,2017-01-04
1031118,64340,9118573,38,2017-04-03
1031121,13976,8670032,2,2017-05-25
1031125,42955,2027112,8,2017-03-21
1031134,40613,6352338,15,2017-03-30
1031142,18065,2340914,21,2017-01-23
1031151,35247,4911824,31,2017-05-13
1031161,54952,2269079,67,2017-05-15
1031163,39623,7889602,39,2017-02-16
1031167,47852,7647739,81,2017-01-17
1031177,32449,1730948,57,2017-02-06
1031185,29906,8522451,52,2017-01-05
1031193,66342,2458842,56,2017-01-19
1031197,13256,5865541,2,2017-01-02
1031204,70175,4286207,24,2017-01-12
1031205,65113,5550115,23,2017-03-26
1031212,39673,5832788,38,2017-02-23
1031217,15409,7616827,66,2017-04-11
1031226,56013,5760669,65,2017-02-25
1031234,17071,1650324,38,2017-01-08
1031238,67780,3019287,18,2017-03-19
1031246,61103,1427193,36,2017-06-01
1031256,63278,2555636,35,2017-01-31
1031259,41612,1829618,2,2017-04-13
1031269,29164,2764434,73,2017-04-15
1031270,61597,8078095,61,2017-04-29
1031275,23057,1907597,42,2017-02-04
1031278,55590,9107253,100,2017-05-15
1031279,40831,7780182,16,2017-03-10
1031286,22221,6774698,77,2017-01-05
1031289,65065,3963133,64,2017-04-23
1031292,67918,3928274,14,2017-03-29
1031295,32795,2094972,74,2017-01-31
1031298,31191,8098374,24,2017-03-28
1031300,14101,1350551,12,2017-02-11
1031306,12176,8441992,69,2017-01-04
1031314,14299,6575422,35,2017-02-18
1031317,38849,3609108,70,2017-03-21
1031326,37639,7341274,58,2017-04-11
1031334,67990,9114277,95,2017-05-12
1031340,35421,2617807,11,2017-01-26
1031348,36688,4429067,46,2017-02-03
1031358,57454,5530037,58,2017-04-08
1031362,67749,7539204,100,2017-02-17
1031365,23485,5022378,13,2017-02-01
1031366,12077,2081690,33,2017-04-19
1031370,63220,7961955,36,2017-04-20
1031380,13964,2326495,8,2017-04-24
1031390,22197,5589539,33,2017-03-12
1031400,11102,5311631,75,2017-03-14
1031409,12841,4628986,13,2017-01-28
1031411,12133,2384120,90,2017-04-12
1031412,55799,1976058,6,2017-05-19
1031417,17250,3643531,82,2017-02-07
1031424,49367,1896856,1,2017-04-17
1031425,58690,2028183,75,2017-04-01
1031431,30435,1866915,69,2017-04-27
1031441,45899,5498442,83,2017-05-27
1031445,50795,7786961,49,2017-04-25
1031448,65741,6201824,79,2017-05-26
1031458,45147,6481729,33,2017-01-17
1031459,19191,3123521,96,2017-02-06
1031462,62987,8863849,22,2017-04-25
1031471,17804,8705212,100,2017-01-12
1031473,60333,6391812,60,2017-05-09
1031482,11519,6814247,54,2017-01-08
1031488,59516,3440903,55,2017-03-03
1031489,18185,7176109,89,2017-04-02
1031497,38343,3705268,40,2017-05-04
1031506,33636,5937966,71,2017-01-26
1031514,57203,8181784,84,2017-05-20
1031520,48853,5643683,76,2017-04-03
1031529,66418,6628700,78,2017-05-20
1031530,26055,9255986,31,2017-04-03
1031534,66055,1539292,51,2017-03-12
1031539,69023,4047362,66,2017-01-31
1031548,40275,9065127,49,2017-03-27
1031555,26178,1928981,19,2017-01-07
1031557,53659,6581337,49,2017-03-06
1031560,58684,5480004,39,2017-03-08
1031570,55866,3443570,99,2017-04-14
1031579,44649,2706313,88,2017-02-19
1031583,67235,6568510,37,2017-02-15
1031586,40454,7029468,88,2017-05-28
1031594,54492,4837448,47,2017-01-28
1031597,48065,1996544,26,2017-04-27
1031604,40154,6850809,93,2017-02-11
1031610,20506,5971914,98,2017-01-21
1031614,16984,5194080,55,2017-05-07
1031617,22713,9054610,90,2017-05-11
1031619,46919,2732100,66,2017-05-28
1031629,65499,7593960,27,2017-01-08
1031633,49916,7288875,17,2017-05-05
1031634,69008,2381088,98,2017-05-31
1031643,23748,8053022,5,2017-01-17
1031652,25924,7065025,87,2017-06-01
1031656,41783,1356902,8,2017-03-07
1031657,15359,4904067,32,2017-03-09
1031660,19625,4374664,70,2017-02-11
1031661,30681,4906323,91,2017-06-01
1031665,28045,1671989,57,2017-02-06
1031672,24364,1614162,61,2017-02-07
1031676,21453,4061210,58,2017-03-27
1031681,44998,8711315,10,2017-05-30
1031688,59541,5696130,89,2017-05-20
1031692,59580,8109897,84,2017-02-05
1031697,23012,1348935,21,2017-05-22
1031700,21621,1922107,83,2017-03-16
1031710,12766,7071227,10,2017-01-11
1031720,45787,5800223,84,2017-04-25
1031730,65913,5190966,96,2017-03-18
1031732,70150,7572706,14,2017-01-20
1031733,35193,3567971,89,2017-03-23
1031743,41384,9021794,25,2017-02-16
1031750,60127,6073841,51,2017-01-29
1031752,40586,6153669,3,2017-02-11
1031759,62413,4319081,2,2017-03-18
1031769,46974,8504835,74,2017-02-05
1031770,13598,5977311,12,2017-05-27
1031780,52251,1680364,60,2017-03-27
1031788,21256,6808769,82,2017-02-19
1031796,63260,4708739,3,2017-02-11
1031800,37163,3528270,58,2017-01-04
1031810,20736,7678079,81,2017-02-25
1031816,17390,6672165,58,2017-03-27
1031817,30499,5648091,74,2017-02-03
1031824,44347,2433204,57,2017-04-10
1031829,61219,8962936,71,2017-05-22
1031837,44163,9149160,91,2017-04-12
1031845,48527,6074123,59,2017-01-19
1031854,56951,5097678,4,2017-03-30
1031858,17706,8006204,83,2017-01-01
1031862,54732,7408603,98,2017-04-14
1031868,43058,8938850,53,2017-05-02
1031877,59230,2436266,73,2017-01-11
1031878,53664,2805982,72,2017-04-28
1031886,60479,4861537,93,2017-05-12
1031888,56300,2697972,24,2017-03-31
1031889,32739,3951896,49,2017-03-27
1031894,41718,9058866,65,2017-03-24
1031899,39427,8470268,37,2017-05-08
1031900,64203,8031993,65,2017-03-07
1031907,52669,6520745,89,2017-01-27
1031913,68470,2231376,68,2017-05-25
1031923,69287,6945358,94,2017-01-11
1031925,60267,3918811,88,2017-03-15
1031932,32412,6437277,45,2017-01-17
1031934,39037,9042883,10,2017-02-18
1031944,19622,8829940,33,2017-05-05
1031953,57101,7944391,61,2017-01-04
1031954,53222,6254843,53,2017-04-15
1031957,46016,4340338,74,2017-04-11
1031963,25333,8484337,48,2017-01-14
1031970,28196,7806151,2,2017-02-07
1031980,43585,7604140,51,2017-01-21
1031983,25806,1967229,33,2017-05-30
1031992,68591,5036646,68,2017-04-01
1031994,60460,4172058,99,2017-04-02
1032000,22283,8307636,27,2017-05-04
1032009,54221,5553966,52,2017-04-30
1032019,39211,6460793,28,2017-03-25
1032021,53508,4555852,14,2017-02-08
1032031,41141,6084061,39,2017-02-19
1032037,46971,2447150,78,2017-01-09
1032042,65777,2367215,60,2017-05-16
1032046,41207,5802638,100,2017-02-28
1032053,49240,6590300,65,2017-03-07
1032056,12991,4669119,6,2017-03-28
1032061,30562,4309913,24,2017-03-21
1032064,14230,8733615,93,2017-04-14
1032065,55914,8408005,50,2017-04-15
1032073,56469,3439127,30,2017-05-04
1032076,21062,3722977,34,2017-01-30
1032085,61017,5546879,13,2017-01-01
1032093,27040,5779440,25,2017-01-05
1032103,47898,7724399,37,2017-04-10
1032104,32068,5756594,64,2017-01-12
1032110,70124,2849501,94,2017-04-29
1032111,63295,2127871,25,2017-02-07
1032113,52384,2149809,93,2017-01-01
1032119,24537,8549349,87,2017-05-04
1032129,35996,3742189,42,2017-02-21
1032130,36739,5680425,15,2017-02-01
1032137,13941,5410573,61,2017-01-25
1032147,18146,3188004,1,2017-03-03
1032152,53656,9244060,76,2017-04-12
1032162,18391,9166723,19,2017-04-07
1032164,65095,3418740,17,2017-01-08
1032168,41029,5703193,46,2017-01-24
1032175,63235,4560589,90,2017-01-02
1032180,61969,7302027,3,2017-05-11
1032190,15757,7738903,16,2017-05-23
1032195,68022,8966884,51,2017-03-02
1032201,37834,7106943,84,2017-04-17
1032209,42632,7646809,75,2017-01-01
1032218,12171,4326708,11,2017-01-18
1032223,45111,4553617,29,2017-01-27
1032230,37228,4757765,83,2017-02-11
1032239,50112,5403394,52,2017-03-16
1032247,54054,8339134,67,2017-01-26
1032248,60306,6147082,60,2017-01-29
1032254,53184,7773277,38,2017-01-07
1032258,50644,8141379,72,2017-04-13
1032265,18300,2538771,28,2017-04-01
1032267,59442,2387173,67,2017-04-23
1032275,23655,2302322,94,2017-05-21
1032282,67931,7690141,45,2017-02-14
1032283,40274,4860273,70,2017-02-24
1032291,32714,4218244,55,2017-05-27
1032298,43345,3289829,1,2017-03-10
1032299,24902,4029684,90,2017-05-22
1032302,36553,7958553,40,2017-05-05
1032309,50496,8145570,54,2017-01-22
1032318,20713,1494971,5,2017-02-26
1032325,41485,6829144,23,2017-05-05
1032334,44553,8401603,94,2017-02-04
1032342,63805,2453515,100,2017-01-19
1032352,36789,6092619,20,2017-01-08
1032361,42070,9338655,94,2017-05-14
1032364,20452,1494100,16,2017-02-15
1032369,18481,1977975,36,2017-05-03
1032376,16564,7747605,12,2017-04-15
1032385,68476,1472650,92,2017-04-29
1032389,45266,5716660,12,2017-01-11
1032391,51757,2718807,82,2017-04-13
1032400,43984,2756781,58,2017-04-02
1032406,43780,7839606,91,2017-02-24
1032411,62330,4797603,17,2017-02-13
1032417,42881,5195602,19,2017-05-12
1032426,15348,2185878,89,2017-03-30
1032433,28290,8696315,20,2017-03-19
1032441,67661,6360316,58,2017-01-06
1032444,49557,4485360,58,2017-03-03
1032450,50558,3435331,58,2017-01-21
1032455,42021,6796072,95,2017-05-15
1032458,19631,4793152,57,2017-04-15
1032464,32739,6941240,11,2017-05-29
1032473,17678,4701699,6,2017-01-30
1032476,60384,2697387,60,2017-02-25
1032477,40374,7824056,70,2017-01-30
1032487,20638,8784205,56,2017-04-09
1032489,63658,7105466,73,2017-04-20
1032497,15095,4037494,99,2017-04-26
1032500,10533,2751555,5,2017-02-17
1032508,62298,6720822,51,2017-04-21
1032518,32147,2075461,88,2017-05-26
1032523,25966,8598708,57,2017-03-08
1032525,41112,1462357,40,2017-03-29
1032532,19542,1385258,12,2017-05-23
1032539,62281,8430542,73,2017-03-30
1032548,28866,8288019,9,2017-04-06
1032556,38628,4208501,32,2017-01-30
1032564,35274,5427190,84,2017-01-13
1032567,15165,7813575,86,2017-01-17
1032576,33798,2945082,24,2017-05-05
1032580,66632,3020532,33,2017-04-05
1032588,57306,7694539,21,2017-02-25
1032597,14330,6803148,85,2017-05-08
1032599,40931,5759578,1,2017-04-24
1032603,22133,8710682,13,2017-05-02
1032613,63454,7028539,50,2017-02-24
1032621,65410,5171497,16,2017-01-25
1032623,34405,4838175,83,2017-03-19
1032633,58889,7411104,52,2017-05-18
1032637,62852,5977229,71,2017-02-23
1032646,10409,2406720,9,2017-02-20
1032647,66075,2879805,10,2017-04-14
1032653,67014,7648208,100,2017-02-04
1032658,40829,8851706,94,2017-02-07
1032659,43296,3161853,50,2017-03-31
1032664,56812,7452352,39,2017-05-08
1032668,27560,1367459,70,2017-03-21
1032675,13896,2998328,77,2017-02-04
1032685,50862,9178921,47,2017-02-08
1032692,40106,7474872,2,2017-01-14
1032699,55301,2695677,42,2017-01-06
1032708,13922,1612994,59,2017-02-13
1032714,15023,4648583,37,2017-05-11
1032718,13738,8617427,22,2017-03-18
1032725,58108,6164508,42,2017-02-07
1032729,28613,8746394,4,2017-01-10
1032731,67225,2824689,60,2017-02-12
1032735,25832,5385831,82,2017-01-20
1032736,13338,2610510,26,2017-05-22
1032745,14397,3247643,67,2017-05-11
1032755,14297,9222547,77,2017-04-29
1032762,20821,6021493,85,2017-05-10
1032765,48591,9035560,93,2017-05-11
1032770,48838,5115379,51,2017-03-26
1032774,49930,5527861,79,2017-05-25
1032778,48334,8943512,50,2017-01-21
1032783,68369,6966865,73,2017-01-06
1032787,48797,2523815,34,2017-03-09
1032794,37834,3581617,84,2017-05-18
1032796,52506,4759290,39,2017-01-01
1032806,57315,3045124,77,2017-01-09
1032816,35516,2033855,56,2017-01-03
1032826,42615,8231993,21,2017-02-12
1032833,34644,3100871,66,2017-01-31
1032843,42471,9294196,67,2017-03-25
1032853,41312,6691214,15,2017-02-11
1032862,17354,1728097,8,2017-03-28
1032868,36942,7340201,38,2017-05-02
1032872,39183,7587805,98,2017-03-20
1032873,50431,2113540,19,2017-04-24
1032874,37502,4964093,15,2017-01-16
1032884,15072,1870556,71,2017-03-16
1032887,68622,4639534,35,2017-03-05
1032890,59594,4104620,88,2017-01-11
1032893,17454,2338993,99,2017-03-30
1032898,44596,4253652,83,2017-04-11
1032900,25952,5786604,97,2017-04-14
1032906,36521,4372393,78,2017-04-07
1032916,30552,7335387,83,2017-04-06
1032917,40978,9122829,17,2017-02-20
1032920,23505,3912830,83,2017-03-20
1032927,31106,4278920,8,2017-05-26
1032931,68552,2324545,18,2017-05-24
1032935,69422,6522691,89,2017-05-06
1032942,54692,8734839,64,2017-03-05
1032950,68077,9249557,2,2017-05-25
1032960,12517,5992298,44,2017-03-17
1032963,40328,6343407,66,2017-01-29
1032969,23424,8950512,62,2017-02-26
1032975,47219,9325161,4,2017-03-27
1032984,18417,5990256,13,2017-05-23
1032993,45947,3602103,83,2017-01-20
1033000,53609,5247317,92,2017-03-09
1033009,34027,8937217,48,2017-01-04
1033017,62499,6074490,41,2017-03-24
1033025,66113,7151844,14,2017-04-21
1033031,42946,3568822,60,2017-01-21
1033036,27612,8111406,26,2017-01-14
1033043,60310,7392809,32,2017-04-22
1033050,17899,1675163,6,2017-06-01
1033055,29655,7581287,59,2017-01-08
1033058,29245,4252235,69,2017-05-09
1033067,55920,6059663,53,2017-04-08
1033077,34497,4647498,40,2017-03-22
1033078,53233,4694885,9,2017-02-13
1033086,64897,7894990,82,2017-03-03
1033096,51906,9084240,12,2017-03-18
1033099,50580,1573070,52,2017-02-26
1033104,21168,6998184,11,2017-01-29
1033109,11320,8580527,8,2017-02-05
1033113,30005,5926910,26,2017-01-02
1033122,50728,8393270,64,2017-04-04
1033131,54742,3494918,56,2017-03-22
1033134,62764,3737698,47,2017-03-30
1033144,21207,8017410,62,2017-05-09
1033149,18237,5141537,36,2017-03-09
1033157,14825,7776459,54,2017-03-30
1033164,18960,1529227,61,2017-06-01
1033167,28813,4969799,38,2017-03-16
1033176,40174,1776161,22,2017-01-24
1033180,36884,3577484,39,2017-03-31
1033189,24648,5373335,55,2017-05-26
1033198,46570,6186738,11,2017-04-18
1033204,52463,6770662,67,2017-04-04
1033205,62852,3211248,40,2017-01-01
1033213,27802,1775979,80,2017-05-06
1033223,43585,2851801,17,2017-05-08
1033226,67596,5296789,95,2017-03-16
1033231,32688,5617605,23,2017-04-04
1033237,37678,3630555,23,2017-05-22
1033242,46755,1977443,46,2017-01-16
1033244,23073,7246984,85,2017-03-08
1033252,49671,8494808,50,2017-06-01
1033259,31342,9014033,27,2017-03-22
1033264,25867,7261375,26,2017-03-09
1033266,14163,4860436,15,2017-04-16
1033274,46289,3434073,11,2017-01-13
1033277,51710,4267174,97,2017-05-10
1033283,39310,1518413,50,2017-02-22
1033291,46750,6398119,89,2017-01-19
1033299,50679,6988453,31,2017-04-29
1033301,12506,4655625,63,2017-02-04
1033305,52294,5357876,18,2017-01-29
1033308,40044,6488323,74,2017-02-12
1033311,12766,4135320,66,2017-01-09
1033315,44347,1815439,30,2017-02-19
1033318,51289,6228758,50,2017-03-28
1033320,38436,7361643,75,2017-01-19
1033328,11590,9165838,20,2017-03-08
1033336,61905,7898327,32,2017-01-22
1033345,62131,8538118,44,2017-04-03
1033347,18230,2980158,48,2017-05-03
1033357,69201,2799476,71,2017-05-26
1033362,37491,8046433,25,2017-01-18
1033370,35858,9249226,8,2017-02-21
1033374,27222,5536374,33,2017-01-29
1033380,20002,4104399,67,2017-02-07
1033384,28554,7907626,75,2017-05-22
1033391,52951,8336773,1,2017-01-11
1033397,59841,4783101,53,2017-05-04
1033404,47518,5969049,14,2017-04-17
1033405,42311,9183952,69,2017-01-29
1033414,53678,8141697,50,2017-03-22
1033418,32457,4102142,83,2017-04-05
1033427,25174,8863436,63,2017-03-02
1033432,58505,2887971,42,2017-05-25
1033435,22740,6024577,18,2017-03-15
1033442,57979,6892564,88,2017-04-23
1033443,48151,4861825,7,2017-05-21
1033445,51889,1864238,57,2017-02-24
1033453,41088,8336250,63,2017-04-26
1033458,40015,5072593,21,2017-04-14
1033462,38479,8525288,73,2017-05-14
1033463,13804,4427702,97,2017-04-19
1033471,42349,7452434,66,2017-02-13
1033472,52172,2043550,65,2017-02-10
1033473,47790,2356290,73,2017-01-10
1033481,58848,4850412,10,2017-04-14
1033484,56249,8356435,70,2017-03-11
1033494,26701,2735881,10,2017-04-24
1033501,24540,3204671,55,2017-01-09
1033511,65989,5895132,80,2017-04-09
1033519,27078,8392539,49,2017-04-02
1033528,53989,3519480,95,2017-04-08
1033538,57262,4958023,90,2017-02-17
1033547,40540,1484733,89,2017-04-24
1033553,52829,1448677,13,2017-05-17
1033561,63640,7883472,32,2017-04-05
1033568,40079,2290023,18,2017-02-16
1033576,28442,5083718,53,2017-02-12
1033581,69566,1347664,10,2017-01-22
1033590,63481,6288324,62,2017-03-13
1033600,40811,5853008,41,2017-03-26
1033601,62035,7871623,56,2017-03-30
1033608,69064,8813199,12,2017-02-12
1033618,16765,5777916,85,2017-02-05
1033624,45318,4551116,82,2017-04-06
1033633,61288,6964912,59,2017-02-14
1033634,13308,4600509,75,2017-03-24
1033644,25062,4924030,75,2017-04-07
1033649,54211,6871174,82,2017-02-02
1033652,14879,2428193,62,2017-02-15
1033658,56703,5642259,50,2017-01-25
1033666,15424,8528716,30,2017-03-07
1033675,34481,4017750,68,2017-03-30
1033680,49953,3469625,66,2017-05-19
1033687,65631,2728885,89,2017-03-07
1033691,11619,2663325,12,2017-05-03
1033699,39511,1352894,2,2017-05-27
1033703,46008,7843693,33,2017-02-07
1033712,20348,7809341,20,2017-01-08
1033720,52695,3802741,54,2017-02-20
1033722,19963,2480096,20,2017-03-30
1033731,33731,6199169,21,2017-02-20
1033734,24584,3945496,8,2017-01-06
1033739,53786,7280707,53,2017-04-05
1033740,18620,2044049,79,2017-01-09
1033743,17685,5138433,85,2017-02-17
1033744,40530,2418177,86,2017-02-06
1033747,38571,6562774,23,2017-04-18
1033754,57038,7910062,14,2017-02-01
1033763,65316,6318831,47,2017-02-12
1033767,59123,3205614,7,2017-02-21
1033773,25771,3713002,72,2017-02-19
1033776,35370,4555267,23,2017-02-12
1033778,10436,7481839,1,2017-03-29
1033784,44129,7241708,3,2017-03-19
1033788,18597,7330502,42,2017-02-06
1033791,45833,4793178,59,2017-05-09
1033799,31708,7829680,78,2017-03-31
1033803,54407,7202194,98,2017-03-17
1033805,45790,5957824,61,2017-02-06
1033810,62160,7604364,73,2017-03-22
1033818,23006,1738766,53,2017-02-23
1033828,15001,8111465,66,2017-05-26
1033832,45276,7405777,40,2017-05-16
1033834,22672,4204260,77,2017-03-20
1033835,15214,4957594,80,2017-04-27
1033837,29450,7060482,88,2017-05-07
1033838,51042,4104551,77,2017-05-17
1033847,43911,8818824,7,2017-03-18
1033856,23802,8156830,67,2017-04-17
1033862,55657,6105900,55,2017-05-05
1033870,12436,2909810,5,2017-02-08
1033872,65550,2916125,65,2017-04-23
1033874,25564,5095128,70,2017-05-20
1033878,61185,1441274,36,2017-04-14
1033885,57175,5796135,82,2017-05-27
1033893,39396,5068451,4,2017-01-24
1033898,62052,9284665,69,2017-04-15
1033900,68249,6239475,91,2017-01-30
1033909,65042,3806423,4,2017-02-25
1033915,66152,3103410,59,2017-02-08
1033922,28617,4858667,12,2017-04-29
1033927,52970,4693947,14,2017-03-01
1033934,47309,5420796,6,2017-01-28
1033937,43058,2604097,2,2017-01-28
1033941,10905,8659414,79,2017-01-18
1033943,46995,8396750,68,2017-03-10
1033946,53989,4135615,4,2017-05-09
1033950,39852,3848964,52,2017-05-14
1033958,13439,1765464,93,2017-04-11
1033963,28508,1355052,42,2017-03-24
1033968,58385,7321363,7,2017-03-22
1033977,45150,5747317,85,2017-01-21
1033984,46273,3581773,42,2017-01-20
1033985,57656,8477442,35,2017-05-25
1033993,17703,7636571,19,2017-03-18
1033998,51710,8024946,44,2017-01-18
1034002,59541,4562613,48,2017-02-09
1034008,37216,4265457,12,2017-03-12
1034017,63043,5314428,35,2017-05-12
1034023,20169,7607096,70,2017-01-17
1034032,31788,6306614,36,2017-03-30
1034036,23867,2910020,28,2017-03-19
1034044,16370,3287120,89,2017-02-18
1034047,63843,2386039,97,2017-01-22
1034051,25852,3029062,2,2017-01-08
1034057,52096,8459963,89,2017-03-20
1034066,59854,6506148,62,2017-03-17
1034072,53364,6161154,92,2017-05-09
1034074,32223,3923921,52,2017-01-05
1034084,45582,2722918,74,2017-05-28
1034089,16290,6422590,17,2017-05-24
1034092,11062,3265821,76,2017-03-30
1034094,60811,4481282,59,2017-04-19
